request_type,count
"Resolved by hubNashville on First Call",604925
"Trash, Recycling & Litter",486845
"Public Safety",281781
"Streets, Roads & Sidewalks",252182
"Property Violations",130137
"Public Works WO",44800
"Transit",21977
"Other Metro Services and Forms",20522
"Electric & Water General",20471
"COVID-19",19247
"Pothole",7168
"Do Not Knock Registry",6998
"New Service / Activate Service",6414
"Street Lighting",6383
"Illegal Dumping",5412
"Cart Service",5258
"Permits",5210
"Parks",5062
"Contact the Mayor's Office",3843
"Cars Parked On Lawn",3486
"COVID-19 Report Violations",3167
"Public_Works_WO",2902
"Parks and Environment",2881
"Customer Experience Surveys",2714
"Tree Maintenance on right of way",2653
"Tree Removal or Maintenance on right of way",2349
"Other",2193
"American Rescue Plan Fund Survey",2127
"Power Lines Down or Low",1853
"Missed Pickup - Cart Service",1492
"Blocking the Right of Way",1226
"Police Chief Search",1082
"Other - Trash / Recycle",811
"Blocked Drain",797
"File a Trash or Recycling Complaint",773
"Schedule an Event with the Mayor - General Form",671
"Planning & Zoning",656
"2022 - Participatory Budget Project Ballot",608
"Traffic Light Issue",551
"Traffic Calming",546
"Trees",528
"Tree Trimming On or Near Power Lines",509
"Remove debris in roadway",491
"Oops Tag",441
"Extra Cart Pickup Request",419
"Ditch Maintenance",415
"Clogged Culvert & Cross Drains",414
"Litter",346
"Illegal Sign on Private Property",331
"Fire - Life Safety Complaints",326
"Dead Animal Pickup",321
"Damaged Property",312
"Mayor Correspondence Request",305
"Metro Parks Greenway System Survey",287
"Flooding",283
"Traffic Light Timing",282
"Report Broken Meter Box",267
"Damage to Property",257
"Entertainment Transportation Violations",246
"Repair Storm Drain",226
"Overgrowth on right of way",226
"2022 - Participatory Budget Project Ballot (Old)",213
"2nd Avenue Explosion Information and Assistance",213
"Request a Meeting with the Mayor",210
"Obstruction of right of way",198
"Storm Relief",193
"Snow and Ice Removal",183
"Tree Planting Sites",182
"Damaged Sign",175
"Missed Pickup - Recycle Cart Service",170
"Roadwork Complaint",165
"Remove Other",164
"Junk and Debris",160
"Tree Concerns",146
"Paving Request",139
"Request New Sign",133
"Brush Collection",127
"Sidewalks",111
