request_type,subtype,count
"2022 - Participatory Budget Project Ballot","Participatory Budget Project Ballot",608
"2022 - Participatory Budget Project Ballot (Old)","Participatory Budget Project Ballot",212
"2022 - Participatory Budget Project Ballot (Old)","(none)",1
"2nd Avenue Explosion Information and Assistance","2nd Avenue Explosion Information and Assistance",213
"Abandoned Vehicles","Abandoned Vehicles",6
"Abandoned Vehicles","Cars Parked on Lawn",6
"Abandoned Vehicles","Report a Crime",2
"Abandoned Vehicles","(none)",1
"Abandoned Vehicles","Vehicle and Parking Violations",1
"American Rescue Plan Fund Survey","American Rescue Plan Fund Survey",2117
"American Rescue Plan Fund Survey","(none)",9
"American Rescue Plan Fund Survey","Metro Parks Community Centers Survey",1
"Animal Welfare Concern","Animal Welfare Concern",1
"Animal Welfare Concern","(none)",1
"Backdoor Trash or Recycle Waivers","Backdoor Trash or Recycle Waivers",62
"Blocked Drain","Blocked Drain",794
"Blocked Drain","Clogged Culvert",1
"Blocked Drain","Repair Storm Drain",1
"Blocked Drain","Other-Roadways",1
"Blocking the Right of Way","Blocking the Right of Way",1216
"Blocking the Right of Way","Tree Maintenance on right of way",7
"Blocking the Right of Way","Report a Crime",1
"Blocking the Right of Way","Street Lighting",1
"Blocking the Right of Way","Illegal Dumping",1
"Bridge Damage","Bridge Damage",6
"Bridge Damage","Homelessness",1
"Brush Collection","Brush Collection",92
"Brush Collection","Illegal Dumping",15
"Brush Collection","Tree Maintenance on right of way",10
"Brush Collection","Tree Trimming",5
"Brush Collection","Remove Storm Debris",4
"Brush Collection","Flooding Issues",1
"Building Permits","Building Permits",15
"Building Permits","(none)",4
"Building Permits","Contractor Complaint",1
"Cars Parked On Lawn","Cars Parked on Lawn",3479
"Cars Parked On Lawn","Report a Crime",3
"Cars Parked On Lawn","(none)",2
"Cars Parked On Lawn","Obstruction of right of way",1
"Cars Parked On Lawn","Illegal Dumping",1
"Cart Service","Request 2nd Trash Cart",1581
"Cart Service","Cart Service",1417
"Cart Service","Recycle Service Issue",1139
"Cart Service","Recycle Cart Stolen / Moved to Home with No Recycle Cart",821
"Cart Service","New Service/Activate Service",274
"Cart Service","(none)",13
"Cart Service","Other-Trash / Recycle",10
"Cart Service","Recycling Drop Off Sites",1
"Cart Service","Residential Dumpster Services",1
"Cart Service","Trash Service Issue",1
"Cart Violation","Cart Violation",12
"Cart Violation","Illegal Dumping",9
"Cart Violation","Oops Tags",1
"Cart Violation","New Service/Activate Service",1
"Cart Violation","Other-Trash / Recycle",1
"Cart Violation","Request 2nd Trash Cart",1
"Clogged Culvert & Cross Drains","Clogged Culvert",412
"Clogged Culvert & Cross Drains","Clean Ditches",1
"Clogged Culvert & Cross Drains","Blocked Drain",1
"Community Partnership and Service Enhancement Application","(none)",32
"Community Safety Partnership Fund Application","(none)",6
"Community Safety Partnership Fund Application","Mayor's Office - Community Safety Partnership Fund Application",1
"Complaint","Traffic Engineering and Crosswalks",10
"Complaint","Cars Parked on Lawn",3
"Complaint","Illegal Dumping",3
"Complaint","Remove Other",1
"Complaint","Paving Request",1
"Complaint","Remove debris in roadway",1
"Complaint","Request a Speed Monitor Trailer",1
"Complaint","Guard Rails",1
"Complaint","Litter",1
"Complaint","Missed Pickup - Recycle Cart Service",1
"Complaint","Missed Pickup - Trash Cart Service",1
"Consumer Protection Request","Consumer Protection Request",2
"Contact the Mayor's Office","Mayor's Office Case",3811
"Contact the Mayor's Office","COVID-19 - Submit Input about The Plan to Reopen Nashville",8
"Contact the Mayor's Office","Traffic Engineering and Crosswalks",7
"Contact the Mayor's Office","(none)",5
"Contact the Mayor's Office","Traffic Calming",3
"Contact the Mayor's Office","Tree Maintenance on right of way",2
"Contact the Mayor's Office","Contractor Complaint",2
"Contact the Mayor's Office","Sidewalks",1
"Contact the Mayor's Office","Paving Request",1
"Contact the Mayor's Office","Remove Storm Debris",1
"Contact the Mayor's Office","Homelessness",1
"Contact the Mayor's Office","Compliments and Suggestions",1
"Control Number Request for Towing","(none)",5
"Control Number Request for Towing","Control Number Request for Towing",2
"COVID-19","COVID-19 Violations",11489
"COVID-19","COVID-19 Questions",6559
"COVID-19","COVID-19 - Submit Input about The Plan to Reopen Nashville",1009
"COVID-19","COVID-19 Guidance for Reopening Businesses",189
"COVID-19","(none)",1
"COVID-19 Questions","(none)",6
"COVID-19 Questions","COVID-19 Violations",1
"COVID-19 Report Violations","COVID-19 Violations",3160
"COVID-19 Report Violations","(none)",7
"COVID-19 Submit Input about The Plan to Reopen Nashville","COVID-19 - Submit Input about The Plan to Reopen Nashville",71
"Curbing and Berms","Curbing and Berms",58
"Curbing and Berms","Flooding Issues",4
"Curbing and Berms","Clogged Culvert",2
"Curbing and Berms","(none)",1
"Curbing and Berms","Clean Ditches",1
"Curbing and Berms","Repair Storm Drain",1
"Curbing and Berms","Contractor Complaint",1
"Customer Experience Surveys","Parks - 2021 Electric Bike Greenway Access Survey",2680
"Customer Experience Surveys","Metro Parks Community Centers Survey",19
"Customer Experience Surveys","(none)",11
"Customer Experience Surveys","Farmers Market Online Ordering Experience Survey",3
"Customer Experience Surveys","Metro Parks Greenway System Survey",1
"Damage to Property","Damage to Property",142
